,endTime,artistName,trackName,msPlayed,full_track,segsPlayed,In Library,uri_tot
1961,2021-03-22 23:00,WOS,ALGO DEL VACÍO,213150,ALGO DEL VACÍO:WOS,213.15,0,1dKjLvlAPTPlhRCFyA84Z9
1962,2021-03-22 23:04,Rochy RD,Ella No Es Tuya - Remix,211201,Ella No Es Tuya - Remix:Rochy RD,211.2,0,5YYW3yRktprLRr47WK219Y
1963,2021-03-22 23:07,Tiago PZK,Sola - Neuen Live Sessions - En Vivo,196600,Sola - Neuen Live Sessions - En Vivo:Tiago PZK,196.6,0,4P1T0qUkqIVuByWA8i1SQV
1964,2021-03-22 23:10,Sech,911,215891,911:Sech,215.89,0,
1965,2021-03-22 23:15,WOS,ALMA DINAMITA - Live Set,252071,ALMA DINAMITA - Live Set:WOS,252.07,1,22e93nNiMUPVqeNHh7FnrS
1966,2021-03-22 23:18,Trueno,Mamichula - con Nicki Nicole,219201,Mamichula - con Nicki Nicole:Trueno,219.2,0,4pXW6ZAHBz7ODXTRKklWrM
1967,2021-03-22 23:19,Trueno,Sangría - con WOS,64005,Sangría - con WOS:Trueno,64.0,0,51aMyZzlIOitdIA4vyF0JO
1968,2021-03-22 23:23,Ed Sheeran,Nothing On You (feat. Paulo Londra & Dave),200733,Nothing On You (feat. Paulo Londra & Dave):Ed Sheeran,200.73,0,5Va44ERiHtC2tfBD53OApA
1969,2021-03-22 23:25,Bizarrap,"C.R.O: Bzrp Music Sessions, Vol. 29",146341,"C.R.O: Bzrp Music Sessions, Vol. 29:Bizarrap",146.34,0,0qPbQWcqNDVrReSSvMoJxk
1970,2021-03-22 23:28,Trueno,Rain,182831,Rain:Trueno,182.83,0,6ziO5KeQ0QmCrrlt0LqhYO
1971,2021-03-22 23:32,Wolty,Q.E.P.D,219567,Q.E.P.D:Wolty,219.57,0,2X4tARsfmiJYBokirkcMIu
1972,2021-03-22 23:35,Wolty,Black Sheep,171428,Black Sheep:Wolty,171.43,0,5iwRyLUJNzMtuuAKhQq9W7
1973,2021-03-22 23:38,Nicki Nicole,Colocao,179966,Colocao:Nicki Nicole,179.97,0,7MCFjPDImfjQv7GynHgVrR
1974,2021-03-22 23:43,Lo' Pibitos,En Espiral,330658,En Espiral:Lo' Pibitos,330.66,0,1Rb3t8HyMNxTqgOXt5MWGd
1975,2021-03-22 23:47,Tiago PZK,Cerca de tí - Remix,241847,Cerca de tí - Remix:Tiago PZK,241.85,0,
1976,2021-03-22 23:51,Dirk Maassen,La Mer,16460,La Mer:Dirk Maassen,16.46,0,
1979,2021-03-22 23:55,Frédéric Chopin,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",265740,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2:Frédéric Chopin",265.74,0,
1980,2021-03-22 23:58,Ed Sheeran,Perfect,132770,Perfect:Ed Sheeran,132.77,1,0tgVpDi06FyKpA1z0VMD4v
1981,2021-03-23 00:00,Henry Smith,Shallow,157714,Shallow:Henry Smith,157.71,0,
1982,2021-03-23 00:04,The Piano Guys,Someone You Loved,203146,Someone You Loved:The Piano Guys,203.15,0,
1983,2021-03-23 00:15,Eydís Evensen,Wandering II,840,Wandering II:Eydís Evensen,0.84,0,
1985,2021-03-23 02:21,WOS,FRESCO,170296,FRESCO:WOS,170.3,0,0blWPYAfbvpRLVHUcmqmmj
1986,2021-03-23 02:24,Arquero,Chill,184998,Chill:Arquero,185.0,0,7myurj1Dl53f8bxv2at1VG
1987,2021-03-23 02:28,Bizarrap,Wanda Nara (Bizarrap Remix),247293,Wanda Nara (Bizarrap Remix):Bizarrap,247.29,0,0LIrw4bN6n32HmxptRya7I
1988,2021-03-23 02:33,Paulo Londra,Tal Vez,194140,Tal Vez:Paulo Londra,194.14,0,5jW3rF4URMdK7tO2xjS5EI
1989,2021-03-23 02:38,WOS,ALMA DINAMITA - Live Set,252071,ALMA DINAMITA - Live Set:WOS,252.07,1,22e93nNiMUPVqeNHh7FnrS
1990,2021-03-23 02:39,Bizarrap,Jugador del Año,39087,Jugador del Año:Bizarrap,39.09,0,0egDphqMcXZ9YeqvSBVRu3
1991,2021-03-23 02:44,Rusherking,Además de Mí - Remix,330040,Además de Mí - Remix:Rusherking,330.04,0,
1992,2021-03-23 02:58,WOS,ALMA DINAMITA,35582,ALMA DINAMITA:WOS,35.58,0,2ONADYjJvqYVwjWavuY0H1
1993,2021-03-23 14:43,Fito Paez,11 Y 6,178266,11 Y 6:Fito Paez,178.27,1,2PkTjm1QAJCZbJ9MqC4RqA
1994,2021-03-23 14:46,Pedro Aznar,A Primera Vista,185933,A Primera Vista:Pedro Aznar,185.93,0,4Xunts6NLofGZCFEICTDTg
1995,2021-03-23 14:51,Fito Paez,Al lado del camino,326195,Al lado del camino:Fito Paez,326.2,1,4Ft15s9T7pcG7O85VbdxVl
1996,2021-03-23 14:56,Soda Stereo,Entre Canibales - MTV Unplugged,294146,Entre Canibales - MTV Unplugged:Soda Stereo,294.15,1,060aWWmC9CrLqbhzHQifQf
1997,2021-03-23 14:57,Soda Stereo,Cae El Sol - Remasterizado 2007,1962,Cae El Sol - Remasterizado 2007:Soda Stereo,1.96,0,5sUe0Kil6bGZxNE7slwp64
2002,2021-03-23 15:18,Fito Paez,Circo beat,10311,Circo beat:Fito Paez,10.31,0,3pOZ858QkKdCCTONxISQa8
2003,2021-03-24 03:26,Charly García,De Mí,175358,De Mí:Charly García,175.36,1,5xnv9ka866mxTHdy9VHIm7
2005,2021-03-24 03:30,Sui Generis,Rasguña las Piedras (En Vivo),236473,Rasguña las Piedras (En Vivo):Sui Generis,236.47,1,6qX6RXG9g5dOjxB6ek5zdJ
2006,2021-03-24 03:33,Andrés Calamaro,Estadio Azteca,217973,Estadio Azteca:Andrés Calamaro,217.97,0,03Ntkzzjkz7nFJldcPbL90
2007,2021-03-24 03:37,Mercedes Sosa,Zona de Promesas (with Gustavo Cerati),238840,Zona de Promesas (with Gustavo Cerati):Mercedes Sosa,238.84,1,2EGq3O7pchSqjQ6gx82byi
2008,2021-03-24 03:41,Charly García,Nos Siguen Pegando Abajo,206705,Nos Siguen Pegando Abajo:Charly García,206.7,1,6ssQWlLTRrPj3FQpiko9JB
