,track_uri,artist_uri,genres
368,7MCFjPDImfjQv7GynHgVrR,2UZIAOlrnyZmyzt1nuXr9y,r&b argentino
368,7MCFjPDImfjQv7GynHgVrR,2UZIAOlrnyZmyzt1nuXr9y,trap argentino
368,7MCFjPDImfjQv7GynHgVrR,2UZIAOlrnyZmyzt1nuXr9y,trap latino
369,49rFA0vfmY9Eel2cInKmTk,2x7PC78TmgqpEIjaGAZ0Oz,argentine hip hop
369,49rFA0vfmY9Eel2cInKmTk,2x7PC78TmgqpEIjaGAZ0Oz,bases de freestyle
369,49rFA0vfmY9Eel2cInKmTk,2x7PC78TmgqpEIjaGAZ0Oz,trap argentino
369,49rFA0vfmY9Eel2cInKmTk,2x7PC78TmgqpEIjaGAZ0Oz,trap latino
370,0tgVpDi06FyKpA1z0VMD4v,6eUKZXaKkcviH0Ku9w2n3V,pop
370,0tgVpDi06FyKpA1z0VMD4v,6eUKZXaKkcviH0Ku9w2n3V,uk pop
371,0blWPYAfbvpRLVHUcmqmmj,5YCc6xS5Gpj3EkaYGdjyNK,argentine indie
371,0blWPYAfbvpRLVHUcmqmmj,5YCc6xS5Gpj3EkaYGdjyNK,trap argentino
372,0LIrw4bN6n32HmxptRya7I,716NhGYqD1jl2wI1Qkgq36,argentine hip hop
372,0LIrw4bN6n32HmxptRya7I,716NhGYqD1jl2wI1Qkgq36,pop venezolano
372,0LIrw4bN6n32HmxptRya7I,716NhGYqD1jl2wI1Qkgq36,trap argentino
372,0LIrw4bN6n32HmxptRya7I,716NhGYqD1jl2wI1Qkgq36,trap latino
373,5jW3rF4URMdK7tO2xjS5EI,3vQ0GE3mI0dAaxIMYe5g7z,argentine hip hop
373,5jW3rF4URMdK7tO2xjS5EI,3vQ0GE3mI0dAaxIMYe5g7z,trap argentino
373,5jW3rF4URMdK7tO2xjS5EI,3vQ0GE3mI0dAaxIMYe5g7z,trap latino
374,3zLvSaaKQEZnOlD5iPuWf9,1cLDC1abeY1jIY5AX2Rtbx,cumbia 420
374,3zLvSaaKQEZnOlD5iPuWf9,1cLDC1abeY1jIY5AX2Rtbx,rap underground argentino
375,4fu4YL8HrytEpM9xgoSUMt,7j3rplwFIjrg9Wm1yrHLx6,rap uruguayo
375,4fu4YL8HrytEpM9xgoSUMt,7j3rplwFIjrg9Wm1yrHLx6,uruguayan indie
376,2uhmMOMbau6rcx0B78sxkc,1aWJsBQa67l72j1VT3D6Ow,latin
376,2uhmMOMbau6rcx0B78sxkc,1aWJsBQa67l72j1VT3D6Ow,reggaeton
376,2uhmMOMbau6rcx0B78sxkc,1aWJsBQa67l72j1VT3D6Ow,trap latino
376,2uhmMOMbau6rcx0B78sxkc,1aWJsBQa67l72j1VT3D6Ow,trap venezolano
376,2uhmMOMbau6rcx0B78sxkc,1aWJsBQa67l72j1VT3D6Ow,venezuelan hip hop
377,4IiDUBOOsGyzTkBbCzVvWE,7j3rplwFIjrg9Wm1yrHLx6,rap uruguayo
377,4IiDUBOOsGyzTkBbCzVvWE,7j3rplwFIjrg9Wm1yrHLx6,uruguayan indie
378,4Egu7kAjEmygXrtX2n7AIV,3vQ0GE3mI0dAaxIMYe5g7z,argentine hip hop
378,4Egu7kAjEmygXrtX2n7AIV,3vQ0GE3mI0dAaxIMYe5g7z,trap argentino
